"City","Code"
"Indore","0731"
"Irinjalakuda","0480"
"Isagarh","07541"
"Islampur","02342"
"Islampur(M)","03481"
"Islampur(Nd)","03526"
"Itanagar","0360"
"Itarsi","07572"
"Itki","06529"
"Jabalpur","0761"
"Jabera","07606"
"Jagadhari","01732"
"Jagalur","08196"
"Jagarnathpur","06588"
"Jagatballavpur","03214"
"Jagatsinghpur","06724"
"Jagdalpur","07782"
"Jaggayyapet","08654"
"Jagraon","01624"
"Jagtial","08724"
"Jahanabad","06114"
"Jahazpur","01485"
"Jainagar","06246"
"Jaipur","0141"
"Jairampur","03800"
"Jaisalmer-01","02991"
"Jaisalmer-02","03018"
"Jaisalmer-03","02999"
"Jaisalmer-04","03010"
"Jaisalmer-05","02998"
"Jaisalmer-06","03011"
"Jaisalmer-07","02997"
"Jaisalmer-08","03012"
"Jaisalmer-09","03013"
"Jaisalmer-10","03014"
"Jaisalmer-11","02992"
"Jaisalmer-12","02993"
"Jaisalmer-13","03015"
"Jaisalmer-14","03016"
"Jaisinghnagar","07651"
"Jaitaran","02939"
"Jaithari","07659"
"Jaitpur","07657"
"Jaitwara","07671"
"Jajpur Road","06726"
"Jajpur Town","06728"
"Jal Andhar","0181"
"Jalalabad","05843"
"Jalaun","05168"
"Jalesar","05745"
"Jalgaon","0257"
"Jalgaonjamod","07266"
"Jalna","02482"
"Jalore(E)","02973"
"Jalore(W)","02977"
"Jalpaiguri","03561"
"Jalukie","03839"
"Jamai","07160"
"Jamankira","06649"
"Jambusar","02644"
"Jamjodhpur","02898"
"Jamkalyanpur","02891"
"Jamkhandi","08353"
"Jamkhed","02421"
"Jammalamadugu","08560"
"Jammu","0191"
"Jamnagar","0288"
"Jamner","02580"
"Jamshedpur","0657"
"Jamtara","06433"
"Jamui","06345"
"Jamwa-Ramgarh","01426"
"Jangaon","08716"
"Jangareddygudem","08821"
"Janjgir","07817"
"Jannaram","08739"
"Jansath","01396"
"Jaora","07414"
"Japla","06566"
"Jarar","05614"
"Jarwa","07787"
"Jasdan","02821"
"Jashipur","06797"
"Jashpurnagar","07763"
"Jasrana","05671"
"Jatara","07681"
"Jath","02344"
"Jatusana","01281"
"Jaunpur","05452"
"Jawad","07420"
"Jawahar","02520"
"Jayal","01583"
"Jayamkondan","04331"
"Jayapatna","06673"
"Jetpur","02823"
"Jewargi","08442"
"Jeypur","06854"
"Jhabua","07392"
"Jhadol","02959"
"Jhagadia","02645"
"Jhajha","06349"
"Jhajjar","01251"
"Jhalawar","07432"
"Jhalda","03254"
"Jhalod","02679"
"Jhanjharpur","06273"
"Jhansi","05174"
"Jhargram","03221"
"Jharigan","06867"
"Jharmundi","06431"
"Jharsuguda","06645"
"Jhinkpani","06589"
"Jhumaritalaiya","06534"
"Jhunjhunu(N)","01595"
"Jhunjhunu(S)","01592"
"Jind","01681"
"Jintdor","02457"
"Jiribam","03876"
"Jobat","07393"
"Jodhpur(E)","0291"
"Jodhpur(W)","02931"
"Jodia","02893"
"Jogindernagar","01908"
"Joida","08383"
"Jora","07537"
"Jorhat","0376"
"Joshimath-I","01389"
"Joshimath-Ii","01381"
"Jowai","03652"
"Jugial","01870"
"Jujumura","06681"
"Julana","01683"
"Junagarh","0285"
"Junnar","02132"
"K.R. Nagar","08223"
"Kadamath","04897"
"Kadipur","05364"
"Kadiri","08494"
"Kadur","08267"
"Kagal","02325"
"Kahalgaon","06429"
"Kaij","02445"
"Kaikaluru","08677"
"Kailashar","03824"
"Kaimganj","05690"
"Kairana","01398"
"Kaisarganj-I","05251"
"Kaisarganj-Ii","05255"
"Kaithal","01746"
"Kakaiya","07649"
"Kakdwip","03210"
"Kakinada","0884"
"Kalakot","01964"
"Kalaktung","03782"
"Kalamb","07201"
"Kalamnuri","02455"
"Kalanaur","01258"
"Kalanwali","01696"
"Kalawad","02894"
"Kalchini","03566"
"Kalghatagi","08370"
"Kalimela","06850"
"Kalimpong","03552"
"Kalka","01733"
"Kallam","02473"
"Kallkurichi","04151"
"Kalmeshwar","07118"
"Kalna","03454"
"Kalol","02764"
"Kalpa","01786"
"Kalpeni","04895"
"Kalpetta","04936"
"Kalpi","05164"
"Kalwakurthy","08549"
"Kalwan","02592"
"Kalyan","0251"
"Kalyandurg","08497"
"Kamakhyanagar","06769"
"Kamalapur","08478"
"Kamalapuram","08563"
"Kaman","05640"
"Kamareddy","08468"
"Kambadur","08492"
"Kamptee","07109"
"Kanaganapalle","08491"
"Kanakapura","08117"
"Kanchipuram","044"
"Kandhar","02466"
"Kandi","03484"
"Kandukuru","08598"
"Kangayam","04257"
"Kangra","01892"
"Kanhangad","04997"
"Kanigiri","08402"
"Kanjirapally","04828"
"Kankavali","02367"
"Kanker","07868"
"Kannad","02435"
"Kannauj","05694"
"Kannod","07273"
"Kannodi","07656"
"Kanpur","0512"
"Kantabhanji","06657"
"Kantamal","06844"
"Kapad Wanj","02691"
"Kapasan","01476"
"Kapurthala","01822"
"Karad","02164"
"Karaikal","04368"
"Karaikudi","04565"
"Karan Prayag","01363"
"Karanjia","07645"
"Karanjia","06796"
"Karauli","07464"
"Karchhana","05333"
"Kareli","07793"
"Karera","07493"
"Kargal","08186"
"Kargil","01985"
"Karhal","07533"
"Karhal","05677"
"Karimganj","03843"
"Karimnagar","0878"
"Karimpur","03471"
"Karjat","02489"
"Karjat","02148"
"Karkala","08258"
"Karmala","02182"
"Karnah","01958"
"Karnal","0184"
"Karpa","07628"
"Karungapally","0476"
"Karur","04324"
"Karvi-I","05198"
"Karvi-Ii","05194"
"Karwar","08382"
"Kasargode","04994"
"Kasdol","07728"
"Kasganj","05744"
"Kashipur","06865"
"Kashipur","05947"
"Kasrawad","07285"
"Katangi","07630"
"Kathdol","07770"
"Kathghora","07815"
"Kathikund","06427"
"Kathua","01922"
"Katihar","06452"
"Katni","07622"
"Katol","07112"
"Katoria","06425"
"Katwa","03453"
"Kavali","08626"
"Kavarathy","04896"
"Kavathemankal","02341"
"Kawardha","07741"
"Kedgaon","02119"
"Keeranur","04339"
"Kekri (E)","01467"
"Kekri (W)","01466"
"Kendrapara","06727"
"Keolari","07694"
"Keonjhar","06766"
"Kerakat","05450"
"Keshod","02871"
"Keshoraipatan","07438"
"Keskal","07848"
"Khachrod","07366"
"Khadakwasala","0230"
"Khaga","05182"
